alpha_acc,alpha_dec,beta_acc,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
-1.3835598382666976,1.9735426407970258,0.5547797247118006,0.8343607746901824,0.5117651715984975,0.8996201416575469,0.8791228017659755,-0.21842668611614174,-0.24273947885999486
-1.4248941369675134,2.02897659876014,0.5504421222469199,0.840397007687967,0.5201086770529216,0.9029560091211912,0.8800765008245914,-0.2185452670288463,-0.24222701100825023
-1.4976543987204773,2.1124247118344175,0.544707907727088,0.8546047304304456,0.5312004394837399,0.9153987387013512,0.8757881930250146,-0.21828002940223115,-0.24241639884404328
-1.5381174435194898,2.1573957832792785,0.5419151839498836,0.8616598424568247,0.5376800395833584,0.9215096400593502,0.8712630960298693,-0.21809040819491554,-0.2424814037864014
-1.573685216633284,2.1861469045855237,0.5388570664117388,0.8681329662281303,0.5413423243419879,0.9270068059215091,0.8682513539755192,-0.21782079862674741,-0.2428027861101908
-1.6130983454161913,2.205689084790703,0.5359990061391428,0.874607794218637,0.5434685748562553,0.931683386700961,0.8647168890947702,-0.21762738713940571,-0.2429981735806335
-1.6704032723610314,2.222382164656967,0.5314069155728901,0.8839525203900668,0.5453689386353987,0.9371078487627796,0.8617351233167524,-0.21745201036845924,-0.24326318006459588
-1.7458867031095602,2.21171657782517,0.525907350625476,0.8951969651075034,0.5423265417684365,0.9429925000992259,0.8572799280606096,-0.21728689416537875,-0.24353273196597097
-1.8747605354375747,2.1753106040840025,0.5163050143451663,0.9143209429876071,0.5358834146357595,0.9508864067115935,0.8527606868469327,-0.21720078356854278,-0.24390340901057372
-2.0581344533857973,2.0196943177747952,0.5044997890748492,0.9380599704676049,0.508836528148671,0.9601042418262384,0.8428032295692967,-0.21705126825611185,-0.24444775659258225
-2.391716312469204,1.657248242614819,0.4849224716667775,0.9815630644773772,0.4480298388051722,0.9737173388439182,0.8292530132488941,-0.2170767790605631,-0.24536867074669882
-2.4026952388059533,1.4904494686083944,0.48698054633757826,0.9746144858856668,0.4158125643665263,0.9614623018054248,0.83061293556853,-0.21775293506061297,-0.24464505852824328
-2.41310958333757,1.5077894144975477,0.485869156554671,0.9747101234720519,0.4174472521962199,0.9543779499901055,0.8384147516891126,-0.21847529231592686,-0.24393716908738206
-2.527709662177443,1.4513168627137119,0.477621096092151,0.989419816496238,0.404458758404242,0.9472642291724566,0.8514697813960355,-0.21965155961435653,-0.243239010667713
-2.4564587629319923,1.4895180834752062,0.48248263357919546,0.9786493319477946,0.41083677390926765,0.9445958139510359,0.8511283085362192,-0.21931835184001455,-0.24328485179544146
-2.4638054154221183,1.4807796362130363,0.4825204530170829,0.9808183790473979,0.4096288163059422,0.9473993609984654,0.8481298911522971,-0.21919274519843185,-0.24337392186309087
-2.4663421362067455,1.4777221328189278,0.48202622735772077,0.9808810810774833,0.4088151847440741,0.9471374459776978,0.8484461865467108,-0.21923936396424143,-0.24337360258065086
-2.4660299002904726,1.4756839591839954,0.4820412419783329,0.9808484216647104,0.408260263344682,0.9471541312784455,0.8482161798575434,-0.21923774605215374,-0.24337577337111876
-2.4649317302548797,1.473885721866971,0.4820629648310317,0.9807230126133772,0.4077633592965311,0.9472833671190154,0.8478491258792309,-0.21922142740066078,-0.24338792693509434
-2.4645566650232356,1.4737369999323882,0.4820862792994548,0.9806907823519926,0.4077251502747019,0.9472923459654136,0.8477935537300653,-0.21921949131374355,-0.2433885657052753
-2.463687011666208,1.4737020091247426,0.4821354985617209,0.9806058687158573,0.4077148553122293,0.9472818172476962,0.8477438380782545,-0.21921754706349247,-0.24338891035675236
-2.4624903698671794,1.4736964581885466,0.48217777945208334,0.9804660348099313,0.40771930191903927,0.9472313316079877,0.8477420121910636,-0.21921828094371995,-0.24338848895134066
