bc_acc,bc_dec,b_speed_c1,b_speed_c2,alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc_p,lamda_dec_n,dn,sigma_acc,sigma_dec,sigma_dn
-0.3819588004278038,0.001301274707937769,1.4247592829725622,-1.000900143259088,1.4019592545965547,0.8859659181855836,0.5621314990241839,0.3961830027267558,1.1652503188497736,0.8664351326426943,0.8620457113447656,0.6841985367519802,-0.011246890229906832,-0.0996315776370724,-0.0749582401070028,-2.1439112966528393
-0.4130217272366076,-0.13244574086894834,1.4877807661720632,-1.189912816865621,0.15739337186146485,0.850721967310153,0.7343582376812358,0.20805171846535853,0.761693219330318,0.7474092035923218,0.7102917331103412,0.7612307604801472,-0.005420323178868069,-0.13390622478414466,-0.09827811389655956,-2.317451167115243
-0.42026517834873217,-0.2072787151885611,1.4922054730129601,-1.259209400066613,0.06089326150772398,0.4164555470343101,0.7029157575355314,0.13767814993162508,0.7269512252935441,0.5592281005891913,0.572109198009397,0.8208033032790386,-0.0036061917067264867,-0.1341100438836677,-0.08926178117084685,-2.3713871215435964
-0.3512805474701801,-0.2245934496130899,1.425348920061501,-1.294607080546069,0.5289185110975654,0.7795881344454976,0.23292242343693842,0.3741242659594238,0.5438081987748777,0.8725948257453138,0.6650952929118528,0.889542561276872,-0.0003053848163532074,-0.1465230268123009,-0.07395453449538271,-2.4402716309225645
-0.28365371539917084,-0.19884174265957208,1.3608201850203867,-1.3016030689718017,-0.2362345597718042,0.9436050464565384,0.3966545362916337,0.4616021743527842,0.4426049809824181,0.9684356489552439,0.7265146949609598,0.8603698030186101,0.003598674400943803,-0.14918417148972246,-0.07366535288520404,-2.485941459629725
-0.2398663962265227,-0.1606076770062449,1.3112290387848067,-1.2996088764195681,-0.0941315938237483,0.9587673176663011,0.44261233553789203,0.414838575074919,0.5268965700974233,0.9514096922492129,0.748412454686541,0.8898001230284455,0.002868907318716623,-0.14847541180945562,-0.07667669663020521,-2.5102928436107885
-0.2000538618553782,-0.1154757825935421,1.2007783758544879,-1.2922200867445275,0.09029353379044597,0.9404000080567999,0.5151279944018656,0.3735168307131412,0.6476584992235652,0.95271465275338,0.8146712510779699,0.9816791291543615,0.0020638771265359818,-0.14047196631345735,-0.08024232273245761,-2.544269068640962
-0.15700425170324278,-0.09217946219381273,1.1055278693067783,-1.2834086645515324,0.19317389922464395,0.9600897173173741,0.5968235130767955,0.3353592944224918,0.7452347406178566,0.9569844906005394,0.8822774118518428,1.0424793132263963,-0.005839302409670502,-0.15019148874176053,-0.06801532432383325,-2.5694255609219723
-0.09813820183328176,-0.04656421557267151,0.9989082662347145,-1.2629088707603366,0.41792362159364616,0.9278619304216745,0.6279445955341921,0.2780401365891115,0.8428289243074467,0.9428305347360029,0.9367468281007727,1.1309077314558855,-0.0020075890249070956,-0.15512442150784206,-0.06862605494583818,-2.602976106817097
-0.1229558656245491,0.06401211309589794,0.905684521196249,-1.1935786423363668,0.3744494008038064,1.0895544772140586,0.5999172665118997,0.3392824237403563,0.8189302087535163,1.1100649243726732,0.9388516690224281,1.2809037152762615,-0.0052641705750055435,-0.13413596303088188,-0.08790972079214189,-2.627607375908778
-0.1177802568170626,0.03976939386064794,0.9102565671825614,-1.1900674700326972,0.41468213943715043,1.0419201171656398,0.6084409918180438,0.30192034219690905,0.8361717584983985,1.0735810201644551,0.944033734114049,1.2835786702144434,-0.0036831566786516396,-0.1405369421178514,-0.0768190663512337,-2.6214714597301483
-0.10796761557443404,0.027825829112834075,0.9471350565259761,-1.1673257219239357,0.5039354335379775,0.8794206924520764,0.6138060135628962,0.2707178305327216,0.8605444942070775,0.9916267648601418,0.9413500419907141,1.2977661124960915,-0.002798915276837663,-0.1540009848273215,-0.06822291828498055,-2.617470365962145
